date,visits_in_day
2008-10-30,10
2008-10-31,3
2008-11-01,11
2008-11-03,5
2008-11-04,4
2008-11-05,6
2008-11-06,19
2008-11-07,8
2008-11-08,19
2008-11-09,10
2008-11-10,12
2008-11-11,4
2008-11-12,7
2008-11-13,10
2008-11-14,8
2008-11-16,11
2008-11-17,9
2008-11-18,12
2008-11-20,8
2008-11-21,10
2008-11-22,28
2008-11-23,3
2008-12-01,6
2008-12-02,8
2008-12-03,9
2008-12-04,11
2008-12-05,15
2008-12-06,11
2008-12-07,3
2008-12-08,4
2008-12-09,16
2008-12-10,7
2008-12-11,13
2008-12-12,15
2008-12-13,4
2008-12-14,7
2008-12-15,18
2008-12-16,4
2008-12-17,17
2008-12-18,1
2008-12-19,14
2008-12-20,7
2008-12-21,14
2008-12-22,16
2008-12-23,12
2008-12-24,24
2008-12-26,10
2008-12-28,12
2009-01-05,7
2009-01-06,8
2009-01-07,13
2009-01-08,15
2009-01-09,5
2009-01-10,11
2009-01-11,8
2009-01-12,16
2009-01-13,15
2009-01-14,11
2009-01-16,20
2009-01-17,1
2009-01-18,4
2009-01-19,21
2009-01-20,6
2009-01-21,12
2009-01-22,20
2009-01-24,2
2009-01-31,1
2009-02-01,5
2009-02-02,3
2009-02-03,5
2009-02-04,6
2009-02-05,7
2009-02-06,15
2009-02-07,6
2009-02-08,2
2009-02-09,1
2009-02-10,10
2009-02-11,15
2009-02-12,10
2009-02-13,15
2009-02-14,3
2009-02-15,10
2009-02-16,4
2009-02-17,10
2009-02-18,5
2009-02-19,9
2009-02-20,20
2009-02-21,3
2009-02-22,5
2009-02-23,28
2009-02-24,10
2009-02-25,17
2009-03-05,3
2009-03-06,14
2009-03-07,4
2009-03-08,6
2009-03-09,15
2009-03-11,7
2009-03-12,3
2009-03-13,12
2009-03-14,2
2009-03-15,9
2009-03-16,15
2009-03-18,15
2009-03-19,12
2009-03-20,3
2009-03-21,2
2009-03-22,12
2009-03-23,16
2009-03-24,2
2009-03-25,13
2009-03-26,3
2009-03-27,11
2009-03-28,4
2009-03-29,8
2009-03-30,13
2009-04-01,17
2009-04-02,19
2009-04-03,16
2009-04-04,10
2009-04-05,7
2009-04-06,10
2009-04-07,4
2009-04-08,18
2009-04-09,23
2009-04-10,7
2009-04-11,10
2009-04-12,9
2009-04-13,14
2009-04-14,6
2009-04-15,2
2009-04-16,9
2009-04-17,10
2009-04-18,10
2009-04-19,7
2009-04-20,16
2009-04-21,15
2009-04-22,2
2009-05-13,9
2009-05-14,13
2009-05-15,6
2009-05-16,13
2009-05-17,27
2009-05-19,14
2009-05-20,1
2009-05-21,13
2009-05-22,16
2009-05-23,21
2009-05-24,10
2009-05-25,9
2009-05-26,4
2009-05-28,16
2009-05-30,6
2009-05-31,15
2009-06-01,6
2009-06-02,1
2009-06-03,1
2009-06-04,16
2009-06-05,4
2009-06-06,17
2009-06-07,6
2009-06-08,16
2009-06-09,16
2009-06-10,5
2009-06-11,14
2009-06-12,10
2009-06-13,15
2009-06-14,13
2009-06-15,9
2009-06-16,21
2009-06-17,2
2009-06-18,12
2009-06-19,13
2009-06-20,14
2009-06-21,11
2009-06-22,9
2009-06-23,10
2009-06-24,2
2009-06-25,25
2009-06-26,14
2009-06-27,21
2009-06-28,23
2009-06-29,9
2009-06-30,17
2009-07-02,11
2009-07-03,15
2009-07-04,4
