k,home_k,at_risk,hazard
1,7,108,0.06481481481481481
2,12,104,0.11538461538461539
3,11,93,0.11827956989247312
4,14,84,0.16666666666666666
5,10,74,0.13513513513513514
6,9,65,0.13846153846153847
7,15,58,0.25862068965517243
8,14,45,0.3111111111111111
9,5,32,0.15625
10,4,28,0.14285714285714285
11,3,24,0.125
12,4,21,0.19047619047619047
13,4,20,0.2
14,4,17,0.23529411764705882
15,2,15,0.13333333333333333
16,3,13,0.23076923076923078
17,0,9,0.0
18,3,9,0.3333333333333333
19,1,6,0.16666666666666666
20,1,5,0.2
21,0,3,0.0
22,0,3,0.0
23,1,3,0.3333333333333333
24,0,1,0.0
25,0,1,0.0
26,0,1,0.0
27,0,1,0.0
28,0,1,0.0
29,0,1,0.0
30,1,1,1.0
