k,pv_cnt,pn_cnt,n,pv_rate
1,10,208,218,0.045871559633027525
2,9,203,212,0.04245283018867924
3,13,194,207,0.06280193236714976
4,17,183,200,0.085
5,24,166,190,0.12631578947368421
6,17,159,176,0.09659090909090909
7,29,133,162,0.17901234567901234
8,24,131,155,0.15483870967741936
9,29,114,143,0.20279720279720279
10,20,103,123,0.16260162601626016
11,18,91,109,0.1651376146788991
12,14,82,96,0.14583333333333334
13,13,70,83,0.1566265060240964
14,12,60,72,0.16666666666666666
15,12,52,64,0.1875
16,11,49,60,0.18333333333333332
17,12,39,51,0.23529411764705882
18,9,39,48,0.1875
19,6,36,42,0.14285714285714285
20,8,31,39,0.20512820512820512
21,6,27,33,0.18181818181818182
22,4,24,28,0.14285714285714285
23,3,18,21,0.14285714285714285
24,2,17,19,0.10526315789473684
25,0,17,17,0.0
26,1,14,15,0.06666666666666667
27,2,13,15,0.13333333333333333
28,0,12,12,0.0
29,0,10,10,0.0
30,0,9,9,0.0
