person,date,first_time,last_time,duration_min,grid_ci,grid_rj,grid_center_lon,grid_center_lat,dist_home_m,is_home,is_sw,is_pv,is_pn,place_id,next_step,visit_order_in_day
30,2009-01-13,02:32:22,02:36:32,4.166666666666667,44,216,116.33013107619442,39.972973972972966,4038.1809872409913,0,0,1,0,Pv1,pv,1
30,2009-01-13,02:47:10,02:52:43,5.55,44,221,116.33013107619442,39.99549649549549,1583.8207006840832,0,0,1,0,Pv2,pv,2
30,2009-01-13,02:54:32,03:00:35,6.05,43,222,116.32425418809909,40.000001,1001.7560958969907,0,0,1,0,Pv3,pn,3
30,2009-01-13,04:40:01,04:43:01,3.0,43,222,116.32425418809909,40.000001,1001.7560958969907,0,0,0,1,Pv3,pv,4
30,2009-01-13,06:11:20,06:18:00,6.666666666666667,44,222,116.33013107619442,40.000001,1119.8559673262587,0,0,1,0,Pv4,pn,5
30,2009-01-13,16:11:48,16:14:51,3.05,43,222,116.32425418809909,40.000001,1001.7560958969907,0,0,0,1,Pv3,home,6
30,2009-01-13,16:17:49,16:21:43,3.9,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,end,0
30,2009-01-14,00:46:58,01:02:33,15.583333333333334,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,pv,0
30,2009-01-14,05:57:16,06:00:24,3.1333333333333333,42,224,116.31837730000376,40.009010009009,500.52876964796377,0,0,1,0,Pv5,home,1
30,2009-01-14,06:07:16,06:10:44,3.466666666666667,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,pn,0
30,2009-01-14,06:16:36,06:35:53,19.283333333333335,43,222,116.32425418809909,40.000001,1001.7560958969907,0,0,0,1,Pv3,pv,2
30,2009-01-14,08:18:16,08:29:14,10.966666666666667,42,221,116.31837730000376,39.99549649549549,1583.8207006840832,0,0,1,0,Pv6,pn,3
30,2009-01-14,09:50:26,09:54:04,3.6333333333333333,43,222,116.32425418809909,40.000001,1001.7560958969907,0,0,0,1,Pv3,pv,4
30,2009-01-14,09:54:07,09:57:08,3.0166666666666666,43,223,116.32425418809909,40.0045055045045,500.87804794849535,0,0,1,0,Pv7,home,5
30,2009-01-14,09:57:10,10:24:17,27.116666666666667,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,pn,0
30,2009-01-14,16:25:23,16:28:24,3.0166666666666666,43,223,116.32425418809909,40.0045055045045,500.87804794849535,0,0,0,1,Pv7,home,6
30,2009-01-14,16:28:26,16:32:18,3.8666666666666667,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,end,0
30,2009-01-15,01:36:49,01:46:16,9.45,43,222,116.32425418809909,40.000001,1001.7560958969907,0,0,0,1,Pv3,pv,1
30,2009-01-15,01:46:18,01:49:51,3.55,42,222,116.31837730000376,40.000001,1119.8559673262587,0,0,1,0,Pv8,home,2
30,2009-01-15,03:55:04,04:26:01,30.95,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,pn,0
30,2009-01-15,04:26:03,04:29:54,3.85,43,223,116.32425418809909,40.0045055045045,500.87804794849535,0,0,0,1,Pv7,pn,3
30,2009-01-15,08:40:19,08:56:11,15.866666666666667,42,222,116.31837730000376,40.000001,1119.8559673262587,0,0,0,1,Pv8,pn,4
30,2009-01-15,10:14:04,10:17:37,3.55,43,222,116.32425418809909,40.000001,1001.7560958969907,0,0,0,1,Pv3,home,5
30,2009-01-15,10:20:28,10:56:16,35.8,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,pv,0
30,2009-01-15,14:50:22,14:53:59,3.6166666666666667,41,220,116.31250041190843,39.990991990990985,2239.741454543214,0,0,1,0,Pv9,pv,6
30,2009-01-15,15:32:38,15:38:48,6.166666666666667,39,217,116.30074663571779,39.97747847747747,4037.744186063996,0,0,1,0,Pv10,pv,7
30,2009-01-15,15:38:51,15:42:17,3.433333333333333,39,216,116.30074663571779,39.972973972972966,4479.600963214384,0,0,1,0,Pv11,pn,8
30,2009-01-15,21:52:34,21:56:03,3.4833333333333334,39,216,116.30074663571779,39.972973972972966,4479.600963214384,0,0,0,1,Pv11,pv,9
30,2009-01-15,22:04:33,22:12:19,7.766666666666667,43,221,116.32425418809909,39.99549649549549,1502.6341438461934,0,0,1,0,Pv12,home,10
30,2009-01-15,22:20:26,22:25:27,5.016666666666667,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,end,0
30,2009-01-16,03:52:22,03:55:39,3.283333333333333,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,home,0
30,2009-01-16,05:25:09,05:59:40,34.516666666666666,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,pn,0
30,2009-01-16,06:40:08,06:46:09,6.016666666666667,43,221,116.32425418809909,39.99549649549549,1502.6341438461934,0,0,0,1,Pv12,pn,1
30,2009-01-16,06:48:29,07:05:56,17.45,43,221,116.32425418809909,39.99549649549549,1502.6341438461934,0,0,0,1,Pv12,pv,2
30,2009-01-16,07:05:59,07:18:20,12.35,43,220,116.32425418809909,39.990991990990985,2003.5121917939814,0,0,1,0,Pv13,pn,3
30,2009-01-16,07:23:18,07:32:27,9.15,43,220,116.32425418809909,39.990991990990985,2003.5121917939814,0,0,0,1,Pv13,pn,4
30,2009-01-16,07:35:12,07:40:32,5.333333333333333,43,221,116.32425418809909,39.99549649549549,1502.6341438461934,0,0,0,1,Pv12,pn,5
30,2009-01-16,09:38:45,09:42:43,3.966666666666667,43,221,116.32425418809909,39.99549649549549,1502.6341438461934,0,0,0,1,Pv12,pv,6
30,2009-01-16,09:47:57,10:28:44,40.78333333333333,45,220,116.33600796428975,39.990991990990985,2239.741454543214,0,0,1,0,Pv14,pv,7
30,2009-01-16,10:28:46,10:32:33,3.783333333333333,44,220,116.33013107619442,39.990991990990985,2065.1044218323264,0,0,1,0,Pv15,pn,8
30,2009-01-16,10:33:52,10:37:21,3.4833333333333334,43,221,116.32425418809909,39.99549649549549,1502.6341438461934,0,0,0,1,Pv12,home,9
30,2009-01-16,16:10:55,16:14:31,3.6,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,end,0
30,2009-01-17,00:55:57,01:04:31,8.566666666666666,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,pn,0
30,2009-01-17,01:10:35,01:23:17,12.7,44,221,116.33013107619442,39.99549649549549,1583.8207006840832,0,0,0,1,Pv2,pv,1
30,2009-01-17,01:29:21,01:35:25,6.066666666666666,41,219,116.31250041190843,39.98648748648648,2697.1127644734115,0,0,1,0,Pv16,pv,2
30,2009-01-17,01:35:26,01:38:26,3.0,41,218,116.31250041190843,39.98198298198198,3167.6727070635884,0,0,1,0,Pv17,pv,3
30,2009-01-17,01:41:09,02:15:10,34.016666666666666,41,215,116.31250041190843,39.96846946846846,4617.780367846722,0,0,1,0,Pv18,pv,4
30,2009-01-17,02:16:55,02:20:59,4.066666666666666,41,217,116.31250041190843,39.97747847747747,3646.3188461206696,0,0,1,0,Pv19,pn,5
30,2009-01-17,02:31:10,02:35:28,4.3,44,221,116.33013107619442,39.99549649549549,1583.8207006840832,0,0,0,1,Pv2,pv,6
30,2009-01-17,02:40:27,02:43:27,3.0,47,223,116.3477617404804,40.0045055045045,2063.881802447439,0,0,1,0,Pv20,pv,7
30,2009-01-17,02:48:49,02:52:59,4.166666666666667,47,227,116.3477617404804,40.02252352252252,2503.1141622097116,0,0,1,0,Pv21,pn,8
30,2009-01-17,02:53:03,02:56:21,3.3,47,227,116.3477617404804,40.02252352252252,2503.1141622097116,0,0,0,1,Pv21,pv,9
30,2009-01-17,02:57:15,03:00:23,3.1333333333333333,46,228,116.34188485238508,40.02702802702702,2503.6428060445173,0,0,1,0,Pv22,pv,10
30,2009-01-17,03:00:24,03:08:16,7.866666666666666,46,229,116.34188485238508,40.031532531531525,2919.929423377618,0,0,1,0,Pv23,pv,11
30,2009-01-17,03:09:02,03:15:32,6.5,45,230,116.33600796428975,40.03603703603603,3167.5474465365064,0,0,1,0,Pv24,pv,12
30,2009-01-17,03:15:35,03:27:00,11.416666666666666,45,231,116.33600796428975,40.04054154054054,3646.191892334141,0,0,1,0,Pv25,pv,13
30,2009-01-17,03:28:45,03:31:52,3.1166666666666667,43,234,116.32425418809909,40.05405505405405,5008.780479484246,0,0,1,0,Pv26,pv,14
30,2009-01-17,04:10:07,04:21:25,11.3,32,271,116.2596084190505,40.22072172072072,24174.597559460413,0,0,1,0,Pv27,pv,15
30,2009-01-17,04:23:13,04:31:47,8.566666666666666,31,271,116.25373153095516,40.22072172072072,24293.11501316381,0,0,1,0,Pv28,pn,16
30,2009-01-17,04:32:41,04:35:49,3.1333333333333333,31,271,116.25373153095516,40.22072172072072,24293.11501316381,0,0,0,1,Pv28,pv,17
30,2009-01-17,04:42:52,04:47:53,5.016666666666667,25,271,116.2184702023832,40.22072172072072,25201.40054265172,0,0,1,0,Pv29,pn,18
30,2009-01-17,06:54:19,06:57:39,3.3333333333333335,31,271,116.25373153095516,40.22072172072072,24293.11501316381,0,0,0,1,Pv28,pn,19
30,2009-01-17,10:54:00,11:17:02,23.033333333333335,32,271,116.2596084190505,40.22072172072072,24174.597559460413,0,0,0,1,Pv27,pv,20
30,2009-01-17,12:53:33,13:12:20,18.783333333333335,69,201,116.4770532785776,39.9054064054054,17387.62064119609,0,0,1,0,Pv30,pv,21
30,2009-01-17,13:53:24,14:01:29,8.083333333333334,124,211,116.80028212382061,39.950451450450444,41079.49887942057,0,0,1,0,Pv31,end,22
30,2009-01-18,03:16:56,03:20:14,3.3,124,211,116.80028212382061,39.950451450450444,41079.49887942057,0,0,0,1,Pv31,pn,1
30,2009-01-18,08:36:03,08:45:30,9.45,124,211,116.80028212382061,39.950451450450444,41079.49887942057,0,0,0,1,Pv31,pn,2
30,2009-01-18,09:29:50,09:36:39,6.816666666666666,124,211,116.80028212382061,39.950451450450444,41079.49887942057,0,0,0,1,Pv31,pn,3
30,2009-01-18,09:57:15,10:05:01,7.766666666666667,124,211,116.80028212382061,39.950451450450444,41079.49887942057,0,0,0,1,Pv31,pv,4
30,2009-01-18,10:43:57,10:48:31,4.566666666666666,68,201,116.47117639048227,39.9054064054054,17015.66917696094,0,0,1,0,Pv32,pn,5
30,2009-01-18,11:43:03,11:49:01,5.966666666666667,44,220,116.33013107619442,39.990991990990985,2065.1044218323264,0,0,0,1,Pv15,pn,6
30,2009-01-18,11:50:35,11:55:31,4.933333333333334,43,221,116.32425418809909,39.99549649549549,1502.6341438461934,0,0,0,1,Pv12,end,7
30,2009-01-19,12:38:03,12:42:36,4.55,44,220,116.33013107619442,39.990991990990985,2065.1044218323264,0,0,0,1,Pv15,pn,1
30,2009-01-19,12:45:00,12:50:35,5.583333333333333,43,221,116.32425418809909,39.99549649549549,1502.6341438461934,0,0,0,1,Pv12,home,2
30,2009-01-19,12:55:18,12:58:45,3.45,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,end,0
30,2009-01-20,03:58:55,04:02:34,3.65,43,223,116.32425418809909,40.0045055045045,500.87804794849535,0,0,0,1,Pv7,home,1
30,2009-01-20,06:20:10,06:26:37,6.45,43,224,116.32425418809909,40.009010009009,0.0,1,0,0,0,HOME,pv,0
30,2009-01-20,06:27:30,06:53:52,26.366666666666667,42,223,116.31837730000376,40.0045055045045,708.1132677758791,0,0,1,0,Pv33,pv,2
30,2009-01-20,06:56:42,07:12:43,16.016666666666666,41,224,116.31250041190843,40.009010009009,1001.0575387539475,0,0,1,0,Pv34,pn,3
30,2009-01-20,09:09:11,09:15:25,6.233333333333333,42,222,116.31837730000376,40.000001,1119.8559673262587,0,0,0,1,Pv8,pn,4
30,2009-01-20,11:45:27,11:52:53,7.433333333333334,41,224,116.31250041190843,40.009010009009,1001.0575387539475,0,0,0,1,Pv34,pn,5
30,2009-01-20,11:56:24,11:59:49,3.4166666666666665,42,224,116.31837730000376,40.009010009009,500.52876964796377,0,0,0,1,Pv5,home,6
