person,date,first_time,last_time,duration_min,grid_ci,grid_rj,grid_center_lon,grid_center_lat,dist_home_m,is_home,is_sw,is_pv,is_pn,place_id,next_step,visit_order_in_day,action_order,first_dt,last_dt,trip_id,action_order_in_trip
0,2008-10-23,03:00:55,04:13:32,72.6,40,50,116.300184,39.984308,3201.6,0,0,1,0,Pv1,sw,1,1,2008-10-23 03:00:55,2008-10-23 04:13:32,1,1
0,2008-10-23,09:42:25,09:42:30,0.1,43,55,116.317527,40.006935,500.0,0,1,0,0,SW,home,2,2,2008-10-23 09:42:25,2008-10-23 09:42:30,1,2
0,2008-10-23,09:42:35,10:05:29,22.9,44,55,116.323385,40.00697,0.0,1,0,0,0,HOME,sw,3,0,2008-10-23 09:42:35,2008-10-23 10:05:29,1,0
0,2008-10-23,10:05:34,10:30:15,24.7,43,55,116.317527,40.006935,500.0,0,1,0,0,SW,home,4,1,2008-10-23 10:05:34,2008-10-23 10:30:15,2,1
0,2008-10-23,10:30:20,11:10:57,40.6,44,55,116.323385,40.00697,0.0,1,0,0,0,HOME,none,5,0,2008-10-23 10:30:20,2008-10-23 11:10:57,2,0
0,2008-10-24,02:09:59,02:10:54,0.9,43,55,116.317527,40.006935,500.0,0,1,0,0,SW,home,1,1,2008-10-24 02:09:59,2008-10-24 02:10:54,1,1
0,2008-10-24,02:10:59,02:47:06,36.1,44,55,116.323385,40.00697,0.0,1,0,0,0,HOME,none,2,0,2008-10-24 02:10:59,2008-10-24 02:47:06,1,0
0,2008-10-26,14:04:27,14:12:42,8.2,55,33,116.388704,39.908225,12298.4,0,0,1,0,Pv4,pv,1,1,2008-10-26 14:04:27,2008-10-26 14:12:42,1,1
0,2008-10-26,14:23:42,14:35:17,11.6,56,31,116.394633,39.899246,13416.4,0,0,1,0,Pv5,none,2,2,2008-10-26 14:23:42,2008-10-26 14:35:17,1,2
0,2008-10-27,12:03:59,12:05:54,1.9,44,55,116.323385,40.00697,0.0,1,0,0,0,HOME,none,1,0,2008-10-27 12:03:59,2008-10-27 12:05:54,0,0
0,2008-10-28,00:38:26,00:40:26,2.0,40,56,116.299908,40.011335,2061.6,0,0,1,0,Pv8,pv,1,1,2008-10-28 00:38:26,2008-10-28 00:40:26,1,1
