person,date,first_time,last_time,duration_min,grid_ci,grid_rj,grid_center_lon,grid_center_lat,dist_home_m,is_home,is_sw,is_pv,is_pn,place_id,next_step,visit_order_in_day,first_dt,last_dt,trip_id,action_order_in_trip
112,2008-01-24,05:16:21,05:27:11,10.833333333333334,81,24,116.3310134895084,39.9682897081081,708.3795244943353,0,0,1,0,Pv1,pv,1,2008-01-24 05:16:21,2008-01-24 05:27:11,1,1
112,2008-01-24,05:28:11,05:37:53,9.7,81,25,116.3310134895084,39.972794212612605,500.9053766156208,0,0,1,0,Pv2,pv,2,2008-01-24 05:28:11,2008-01-24 05:37:53,1,2
112,2008-01-24,07:12:23,07:20:05,7.7,81,26,116.3310134895084,39.97729871711711,708.3561806898888,0,0,1,0,Pv3,pn,3,2008-01-24 07:12:23,2008-01-24 07:20:05,1,3
112,2008-01-24,09:24:06,09:29:40,5.566666666666666,81,26,116.3310134895084,39.97729871711711,708.3561806898888,0,0,0,1,Pv3,end,4,2008-01-24 09:24:06,2008-01-24 09:29:40,1,4
112,2008-01-27,04:39:35,04:55:39,16.066666666666666,81,26,116.3310134895084,39.97729871711711,708.3561806898888,0,0,0,1,Pv3,pv,1,2008-01-27 04:39:35,2008-01-27 04:55:39,1,1
112,2008-01-27,10:37:26,10:44:45,7.316666666666666,80,28,116.32513529704534,39.98630772612612,1502.634143845486,0,0,1,0,Pv4,pv,2,2008-01-27 10:37:26,2008-01-27 10:44:45,1,2
112,2008-01-27,10:46:26,10:50:52,4.433333333333334,80,27,116.32513529704534,39.98180322162162,1001.756095897698,0,0,1,0,Pv5,pn,3,2008-01-27 10:46:26,2008-01-27 10:50:52,1,3
112,2008-01-27,10:57:09,11:00:23,3.2333333333333334,81,26,116.3310134895084,39.97729871711711,708.3561806898888,0,0,0,1,Pv3,home,4,2008-01-27 10:57:09,2008-01-27 11:00:23,1,4
112,2008-01-27,11:04:14,11:07:38,3.4,80,25,116.32513529704534,39.972794212612605,0.0,1,0,0,0,HOME,pn,0,2008-01-27 11:04:14,2008-01-27 11:07:38,1,0
112,2008-01-27,11:10:46,11:37:30,26.73333333333333,81,24,116.3310134895084,39.9682897081081,708.3795244943353,0,0,0,1,Pv1,pn,5,2008-01-27 11:10:46,2008-01-27 11:37:30,2,1
